字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
謷,,謷㈡,,ào,言,17,上下,,❶高大的样子。《庄子·德充符》：“～乎大哉，独成其天！”//❷通“傲”。傲慢。《庄子·天地》：“得其所谓，～然不顾。”
嚣,,嚣㈠,[囂、嚻],áo,口,18,上中下,一级字,[嚣嚣]//通“嗸嗸”。众人怨恨之声。《诗经·小雅·十月之交》：“无罪无辜，谗口～～。”//傲慢的样子。《诗经·大雅·板》：“我即尔谋，听我～～。”
鳌,,鳌,[鰲、鼇],áo,鱼,18,上下,二级字,传说中海里的大鳖。《淮南子·览冥》：“于是女娲炼五色石以补苍天，断～足以立四极。”李白《猛虎行》：“巨～未斩海水动，鱼龙奔走安得宁？”
鏖,,鏖,,áo,鹿,19,半包围,二级字,激战，苦战。《汉书·霍去病传》：“合短兵，～皋兰下。”（皋兰：山名。）//〖喻〗喧扰。黄庭坚《仁亭》诗：“市声～午枕，常以此心观。”
夭,,夭㈠,,ǎo,丿,4,独体,一级字,初生的草木鸟兽。《国语·鲁语上》：“泽不伐～。”《礼记·王制》：“不杀胎，不殀～。”
坳,,坳,[㘭],ào,土,8,左右,二级字,低凹的地方。韩愈《咏雪·赠张籍》：“～中初盖底，垤（dié）处遂成堆。”（垤：小土堆。）//[坳堂]//堂上低洼的地方。《庄子·逍遥游》：“覆杯水于～～之上，则芥为之舟。”
拗,,拗㈠,[抝],ǎo,扌,8,左右,一级字,用手折断。《梁乐府·折杨柳枝歌》：“上马不捉鞭，反～杨柳枝。”//〖引〗违逆，扭转。韩愈《答孟郊》诗：“古心虽自鞭，世路终难～。”《朱子语类》卷四：“被此生坏了后，理终是～不转来。”
拗,,拗㈡,[抝],ào,扌,8,左右,一级字,不顺口。元稹《哭女樊四十韵》：“和蛮歌字～，学妓舞腰轻。”//〖又〗出乎常格，不合格律。杨慎《升庵诗话·杜牧之》：“宋人评其诗，豪而艳，宕而丽，于律诗中特寓～峭，以矫时弊，信然。”（峭：指劲直有力。）
浇,,浇㈠,[澆],ào,氵,9,左右,一级字,人名。又写作“奡”。
磝,,磝㈠,,áo,,,,,多小石的山。《尔雅·释山》：“多小石，磝。”//[磝磝]//山多石的样子。韩愈《别知赋》：“山～～其相轧。”（相轧：石相挤压。）
罢,,罢㈠,[罷],bà,罒,10,上下,一级字,❶停止。《论语·子罕》：“欲～不能。”《史记·秦始皇本纪》：“秦出兵，五国兵～。”//〖引〗结束，完了。《韩非子·外储说左上》：“及反，市～。”（到他回去时，集市已经散了。）//❷罢免，停职。《史记·魏其武安侯列传》：“窦太后大怒，乃～逐赵绾、王臧等。”//❸（旧读bì）散，离散。《墨子·非攻中》：“吴有离～之心。”
跋,,跋,,bá,𧾷,12,左右,一级字,❶踏草而行或翻山越岭。《左传·襄公二十八年》：“～涉山川。”成语有“跋山涉水”。//〖引〗踩，践踏。《诗经·豳风·狼跋》：“狼～其胡。”（胡：野兽脖子下的垂肉。）//❷文体的一种，写在书籍或文章的后面，多用来评价内容或说明写作经过。沈括《梦溪笔谈》卷五：“后人题～多盈巨轴矣。”（题：题写在书籍、文章或书画前面的文字。巨轴：指大卷的著作。）//❸[跋扈]//蛮横霸道。《后汉书·梁冀传》：“帝少而聪慧，知冀骄横，尝朝群臣，目冀曰：‘此～～将军也。’”《北史·齐神武帝纪》：“景专制河南十四年矣，常有飞扬～～志。”（景：侯景，人名。）成语有“飞扬跋扈”。
靶,,靶㈠,,bǎ,革,13,左右,一级字,箭靶（后起意义）。王实甫《丽春堂》第一折：“～内先知箭有功。”
靶,,靶㈡,,bà,革,13,左右,一级字,❶马笼头。左思《吴都赋》：“回～乎行邪，睨观鱼乎三江。”//〖又〗缰绳。《汉书·王褒传》：“王良执～。”（王良：古代善驾马者。）//❷器物的把柄。《北齐书·徐之才传》：“又有以骨为刀子～者，五色班斓。”（班：通“斑”。）//〖又〗弓身的正中，开弓时手执握处。王维《出塞作》诗：“玉～角弓珠勒马。”
魃,,魃,,bá,鬼,14,半包围,二级字,[旱魃]//传说中引起旱灾的鬼怪。《诗经·大雅·云汉》：“～～为虐，如惔（tán）如焚。”（惔：焚烧。）
霸,,霸㈠,[覇],bà,雨(⻗),21,上下,一级字,❶春秋战国时诸侯的盟主。《商君书·更法》：“五～不同法而霸。”（五霸：指春秋时齐桓公、晋文公等五个诸侯的盟主。）//❷做诸侯的盟主。《孟子·公孙丑上》：“管仲以其君～。”//〖引〗称霸。《三国志·蜀书·诸葛亮传》：“诚如是，则～业可成。”//【注意】//在古代，“霸”没有蛮横不讲理的意义。
灞,,灞,,bà,氵,24,左右,二级字,水名。渭水支流，在陕西境内。司马相如《上林赋》：“终始～、浐（chǎn），出入泾、渭。”（浐：水名。）
巴,,巴,,bā,巳,4,独体,一级字,❶[巴蛇]//传说中的一种大蛇。《山海经·海内南经》：“～～食象。”//❷周代诸侯国，在今四川和重庆东部一带。//❸[巴人]//民间曲名。张协《杂诗》之五：“阳春无和者，～～皆下节。”本称“下里巴人”。宋玉《对楚王问》：“客有歌于郢中者，其始曰下里～～。”
伯,,伯㈠,,bà,亻,7,左右,一级字,通“霸”。春秋时诸侯的盟主。《韩非子·难四》：“桓公，五～之上也。”//〖又〗称霸，做诸侯的盟主。《荀子·儒效》：“一朝而～。”（一朝：一个早晨，指非常短促的时间。）
把,,把㈠,,bǎ,扌,7,左右,一级字,❶握，持。《战国策·燕策三》：“臣左手～其袖。”《论衡·顺鼓》：“操刀～杖以击之。”//〖引〗控制，把守。《晏子春秋·谏下》：“然则后世孰将～齐国？”杨万里《松关》诗：“竹林行尽到松关，分付双松为～门。”//❷量词。束，把。《三国志·吴书·陆逊传》：“乃敕各持一～茅，以火攻拔之。”（敕：命令。）//❸介词。将，把（后起意义）。白居易《戏醉客》诗：“莫～杭州刺史欺。”苏轼《饮湖上初晴后雨》诗：“欲～西湖比西子。”（西子：西施，春秋时代越国有名的美女。）
芭,,芭㈠,,bā,艹,7,上下,一级字,❶一种香草。屈原《九歌·礼魂》：“成礼兮会鼓，传～兮代舞。”//❷芭蕉。张希复《赠诸上人联句》：“乘兴书～叶，闲来入豆房。”
拔,,拔,,bá,扌,8,左右,一级字,❶拔起，拔出。《韩非子·说林上》：“使十人树之而一人～之。”《史记·秦始皇本纪》：“～剑自杀。”//〖引〗选拔，提拔。《论衡·书虚》：“～宁戚于车下。”李白《与韩荆州书》：“山涛作冀州，甄（zhēn）～三十余人。”（山涛：人名。作冀州：当冀州的长官。甄：审察。）//❷突出，超出。《孟子·公孙丑上》：“出于其类，～乎其萃。”成语有“出类拔萃”。李白《梦游天姥吟留别》：“势～五岳掩赤城。”（五岳：我国五座大山。赤城：山名。）//❸攻取。《战国策·东周策》：“秦～宜阳。”《史记·魏公子列传》：“～二十城。”//❹动摇，改变。《周易·乾》：“乐则行之，忧则违之，确乎其不可～。”成语有“坚韧不拔”。//❺迅疾。《礼记·少仪》：“毋～来，毋报往。”//❻[拔扈]//蛮横霸道。张衡《西京赋》：“睢盱（huīxū）～～。”（睢盱：张目仰视。）
胈,,胈,,bá,月,9,左右,三级字,大腿上的毛。《韩非子·五蠹》：“禹之王天下也，身执耒臿以为民先，股无～，胫不生毛。”
茇,,茇㈠,,bá,,,,,❶草根。《淮南子·地形》：“凡浮生不根～者，生于萍藻。”沈括《梦溪笔谈》卷二五：“见路旁生蓟，～甚大。”（蓟：草名。）//❷在草野中住宿。《诗经·召南·甘棠》：“蔽芾（fèi）甘棠，勿翦勿伐，召（shào）伯所～。”（蔽芾：小的样子。甘棠：杜梨。召伯：指召康公。）
豝,,豝,,bā,,,,,母猪。《诗经·召南·驺虞》：“一发五～。”（发：指射箭。）一说为两岁的猪。
軷,,軷,,bá,,,,,祭祀路神。祭后以车轮碾过牲体，以示出行无艰险。《诗经·大雅·生民》：“取羝（dī）以～。”（羝：公羊。）
捭,,捭㈠,,bǎi,扌,11,左右,二级字,❶两手分开横击。左思《吴都赋》：“拉～摧藏。”//❷[捭阖hé]//或分开或联合。战国时纵横家的游说之术。《鬼谷子·捭阖》：“～～者，天地之道。”成语有“纵横捭阖”。
排,,排㈠,,bài,扌,11,左右,一级字,鼓风吹火的工具。《三国志·魏书·韩暨传》：“旧时冶，作马～。”
稗,,稗,,bài,禾,13,左右,二级字,❶稗子，稻田里的一种杂草。《潜夫论·述赦》：“养稊（tí）～者，伤禾稼。”（稊：类似稗的植物。）这个意义又写作“粺”。//❷微小的，琐细的。//[稗官]//小官。《汉书·艺文志》：“小说家者流，盖出于～～。”（流：这一类的。）后来用作小说或小说家的代称。//[稗史]//记述遗闻琐事的书。如元代仇远著《稗史》一卷。有别于正史，故称稗史。
鞴,,鞴㈠,,bài,革,19,左右,二级字,皮革制的鼓风囊。陈亮《贺新郎·酬辛幼安再用韵见寄》：“天地洪炉谁扇～？”
白,,白,,bái,白,5,独体,一级字,❶白色。《荀子·荣辱》：“目辨～黑美恶。”（辨：辨别。）//〖引〗纯洁，干净。《韩非子·说疑》：“竦（sǒng）心～意。”（竦：恭敬。）//〖又〗天亮。李贺《致酒行》：“雄鸡一声天下～。”//❷清楚，明了。《荀子·天论》：“功名不～。”《汉书·贡禹传》：“罪～者伏其诛，疑者以与民。”//〖引〗显著。《汉书·冯奉世传》：“威功～著，为世使表。”//❸下对上告诉，陈述。《史记·滑稽列传》：“巫妪弟子是女子也，不能～事，烦三老为入～之。”柳宗元《童区寄传》：“虚吏～州，州～大府。”（虚吏：管理集市的官吏。）//❹空白。《旧唐书·苗晋卿传》：“而奭（shì）手持试纸，竟日不下一字，时谓之曳（yè）～。”//[白丁、白衣、白身]//都指没有功名的平民。《隋书·李敏传》：“谓公主曰：‘李敏何官?’对曰：‘一～丁耳。’”《晋书·陶侃传》：“侃坐免官，王敦表以侃～衣领职。”（坐：因罪。）高适《送桂阳孝廉》诗：“桂阳年少西入秦，数经甲科犹～身。”//❺徒然，白白地（后起意义）。李白《越女词》五首之四：“相看月未堕，～地断肝肠。”//❻葱、蒜茎部下端白色的部分。《世说新语·俭啬》：“及食，啖薤，庾因留～。”//❼古时罚酒用的酒杯。刘向《说苑·善说》：“饮不嚼者，浮以大～。”（嚼：通“釂”。饮尽。浮：罚酒。）
伯,,伯㈡,,bǎi,亻,7,左右,一级字,通“佰”。数目单位。《孟子·滕文公上》：“或相什～，或相千万。”晁错《论贵粟疏》：“亡（wú）农夫之苦，有仟～之得。”（亡：通“无”。仟、伯：千钱和百钱。）
佰,,佰㈠,,bǎi,亻,8,左右,二级字,❶数词“百”的大写。//❷（旧读bó）古时军队编制单位，百人为佰。//〖又〗管辖一百人的长官。《史记·陈涉世家》：“蹑足行伍之间，俛（fǔ）仰仟～之中。”（参加到队伍里，处在仟长、佰长这样的人中间。仟：管辖一千人的长官。）
败,,败,[敗],bài,贝,8,左右,一级字,❶毁坏，败坏。《诗经·大雅·桑柔》：“大风有隧，贪人～类。”（有隧：风势急速的样子。）《韩非子·难一》：“法～则国乱。”//〖又〗食物变质变味。《论语·乡党》：“鱼馁而肉～，不食。”（馁：指鱼腐烂。）//〖引〗灾害，祸害。《吕氏春秋·孟夏》：“（孟夏）行春令，则虫蝗为～。”《礼记·孔子闲居》：“四方有～，必先知之。”//❷失败，打败仗。与“胜”相对。《孙子兵法·军形》：“善战者立于不～之地。”//〖又〗把对方打败。《史记·廉颇蔺相如列传》：“秦数～赵军。”//❸衰落，凋残。李商隐《五月六日夜忆往岁与彻师同宿》诗：“堕蝉翻～叶，栖鸟定寒枝。”//〖特〗歉年。《穀梁传·庄公二十八年》：“丰年补～。”
陌,,陌㈠,,bǎi,阝左,8,左右,一级字,通“佰”。钱一百为“佰”。《旧五代史·王章传》：“官库出纳缗（mín）钱，皆以八十为～。”
拜,,拜,,bài,龵,9,左右,一级字,❶一种表示恭敬的礼节。《左传·僖公三十二年》：“卜偃使大夫～。”（卜偃：人名。）《史记·绛侯周勃世家》：“介胄（zhòu）之士不～，请以军礼见。”（介胄之士：穿铠甲戴战盔的军人。）//〖引〗谒见，拜见。《论语·阳货》：“孔子时其亡也，而往～之。”（时其亡：等到他不在家的时候。）//❷授给官职。《三国志·蜀书·诸葛亮传》：“～亮为丞相。”又“拜官”为旧时常用语。//❸拔。《诗经·召南·甘棠》：“勿剪勿～。”
粺,,粺,,bài,,,,,❶一种精米。《诗经·大雅·召旻》：“彼疏斯～，胡不自替？”（疏：粗米。斯：此。）//❷通“稗”。稗子。《孔子家语·相鲁》：“若其不具，是用秕（bǐ）～。”（秕：不饱满的谷粒。）
